model,modbus_address,parameter,unit,register_length,data_type,r_w,data_range,industry_standard,indb,setupRead,setupWrite,timestamp,read_command,write_command,value_weight,address
EM210-72D.MV5.3.X.OS.X,36,voltage_ln_average,V,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,38,voltage_ll_average,V,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,40,total_real_power,W,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,42,ac_apparent_power_va,VA,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,44,reactive_power_var,VAR,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,46,pf_phase_a,,1,int32,r,,,t,f,f,f,3,,1000,
EM210-72D.MV5.3.X.OS.X,47,pf_phase_b,,1,int32,r,,,t,f,f,f,3,,1000,
EM210-72D.MV5.3.X.OS.X,48,pf_phase_c,,1,int32,r,,,t,f,f,f,3,,1000,
EM210-72D.MV5.3.X.OS.X,49,power_factor,,1,int32,r,,,t,f,f,f,3,,1000,
EM210-72D.MV5.3.X.OS.X,50,phase_sequence,,1,int16,r,,,f,f,f,f,3,,,
EM210-72D.MV5.3.X.OS.X,51,frequency,Hz,1,int16,r,,,t,f,f,f,3,,1,
EM210-72D.MV5.3.X.OS.X,52,total_real_energy_imported,kWh,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,54,total_var_hours_imported_q1,kVARh,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,78,total_real_energy_exported,kVWh,1,int32,r,,,t,f,f,f,3,,10,
EM210-72D.MV5.3.X.OS.X,90,hour_counter,,1,int32,r,,,f,f,f,f,3,,100,
EM210-72D.MV5.3.X.OS.X,92,hour_counter_neg,,1,int32,r,,,f,f,f,f,3,,100,
EM210-72D.MV5.3.X.OS.X,130,thd_current_phase_a,A,1,int32,r,,,f,f,f,f,3,,100,
EM210-72D.MV5.3.X.OS.X,132,thd_current_phase_b,A,1,int32,r,,,f,f,f,f,3,,100,
